Episode,Reward,Epsilon,Loss
1,81.3000000000001,0.97,0.008072687829847722
2,107.75000000000007,0.9409,0.005376156910670011
3,149.76000000000016,0.912673,0.010277728745744848
4,135.91000000000028,0.8852928099999999,0.01703251965559529
5,155.84000000000006,0.8587340256999999,0.027341005352436627
6,-162.61999999999995,0.8329720049289999,0.04121785838945873
7,189.26000000000033,0.8079828447811299,20.037858430106972
8,467.8099999999998,0.783743359437696,26.484838810047563
9,303.5300000000003,0.7602310586545651,29.44691916233197
10,571.1700000000003,0.7374241268949281,22.797360422578233
11,-8.620000000000061,0.7153014030880802,11.599386229740771
12,820.5199999999999,0.6938423609954378,50.312867558196025
13,-233.83000000000015,0.6730270901655747,37.803647659233384
14,873.6299999999997,0.6528362774606075,55.04993145171157
15,640.9199999999996,0.6332511891367892,42.08655858207914
16,732.0599999999997,0.6142536534626856,79.46746316496767
17,25.1700000000003,0.595826043858805,148.55518264190192
18,80.26999999999987,0.5779512625430409,62.908055969537834
19,260.4200000000001,0.5606127246667496,209.4715632130652
20,-92.41000000000008,0.5437943429267471,132.0300987759036
21,121.8299999999997,0.5274805126389447,212.24999185961792
22,-94.97000000000014,0.5116560972597763,261.79240295367924
23,22.68999999999994,0.496306414341983,161.15669476210013
24,-128.29000000000002,0.48141722191172354,209.8520025850753
25,316.0599999999997,0.4669747052543718,182.48436848140273
26,66.05999999999983,0.4529654640967406,205.05342262287934
27,7.8600000000000705,0.4393765001738384,312.0991224933129
28,430.19999999999993,0.42619520516862325,174.22649869819483
29,68.83999999999992,0.4134093490135645,209.14565241011115
30,501.4299999999994,0.4010070685431576,173.66535356988206
31,94.98999999999978,0.38897685648686287,271.56356065790055
32,358.4499999999997,0.377307550792257,253.73843693630448
33,136.99000000000012,0.36598832426848926,331.21385219358814
34,196.3900000000001,0.35500867454043455,447.30949375389986
35,-151.06000000000006,0.3443584143042215,369.221709629585
36,96.11000000000024,0.3340276618750948,377.13914327287677
37,301.96000000000015,0.32400683201884195,377.7871318548395
38,55.23000000000002,0.3142866270582767,322.7469700374742
39,-24.350000000000136,0.3048580282465284,241.54011265578725
40,474.79999999999995,0.2957122873991326,324.35824395117356
41,52.789999999999964,0.2868409187771586,362.9742616500818
42,1005.79,0.27823569121384384,354.03423546881163
43,-5.390000000000214,0.2698886204774285,531.3241848695778
44,1120.6600000000003,0.26179196186310566,291.298707915978
45,610.5900000000001,0.2539382030072125,338.41595922860336
46,5.299999999999898,0.2463200569169961,293.35703509699914
47,491.6599999999996,0.23893045520948622,426.34819015747024
48,42.06999999999971,0.23176254155320164,363.7094132183044
49,467.40000000000043,0.2248096653066056,393.69980746200406
50,168.52999999999963,0.21806537534740741,364.43666571350724
51,367.3900000000002,0.2115234140869852,515.2924570539562
52,2730.3500000000013,0.20517771166437562,447.8269461595368
53,3143.820000000005,0.19902238031444436,420.9766024277415
54,774.7999999999993,0.19305170890501103,531.5396540111966
55,965.8899999999994,0.1872601576378607,410.5698068563578
56,3533.310000000001,0.18164235290872485,472.6256292191584
57,2105.1699999999983,0.1761930823214631,358.40557230965607
58,9386.750000000002,0.17090728985181922,439.260396082435
59,3537.5400000000013,0.16578007115626464,339.5797671998397
60,1003.3900000000001,0.1608066690215767,508.47538170046056
61,3708.2699999999986,0.1559824689509294,429.670212347581
62,2287.979999999999,0.1513029948824015,408.8862952950037
63,5893.799999999999,0.14676390503592945,439.66218244871345
64,6472.830000000009,0.14236098788485158,425.4955671439688
65,1719.7600000000011,0.13809015824830603,405.75730509319527
66,845.2000000000007,0.13394745350085685,380.55889781242195
67,811.0299999999997,0.12992902989583113,365.2178666148354
68,2957.28,0.1260311589989562,452.64492101689956
69,888.7500000000002,0.12225022422898751,405.80311236877253
70,6328.620000000002,0.11858271750211788,420.476127028005
71,10492.660000000009,0.11502523597705434,342.0964088408179
72,8846.560000000012,0.1115744788977427,382.4144508075202
73,3523.8199999999993,0.10822724453081042,278.3040485486359
74,3795.7599999999993,0.10498042719488611,399.37302617576177
75,10979.720000000008,0.10183101437903952,264.90789802068474
76,3649.9900000000016,0.09877608394766833,287.31824264508236
77,10267.22000000002,0.09581280142923829,317.26437502340116
78,10750.090000000011,0.09293841738636113,336.4909129380981
79,11037.500000000015,0.09015026486477029,220.36303467556002
80,10911.520000000004,0.08744575691882718,249.16726302108003
81,10926.749999999989,0.08482238421126237,258.5163333608546
82,11029.090000000002,0.0822777126849245,277.9431389479911
83,3786.1499999999987,0.07980938130437676,271.90965963064457
84,11090.969999999994,0.07741509986524546,251.68851914433614
85,11192.3,0.0750926468692881,207.6370066758695
86,11321.559999999996,0.07283986746320946,234.94837816509974
87,11378.42,0.07065467143931317,231.68334389725493
88,10968.339999999991,0.06853503129613378,254.99545926515705
89,11289.399999999992,0.06647898035724976,209.00976950719294
90,11068.439999999991,0.06448461094653227,289.7093844600363
91,10967.58999999998,0.06255007261813629,216.68648631328549
92,11409.630000000025,0.0606735704395922,303.6465639000034
93,11452.679999999986,0.05885336332640443,276.2110603659675
94,11096.580000000016,0.057087762426612294,246.60087978750542
95,11208.18000000002,0.05537512955381393,307.0176383581487
96,11444.40999999999,0.053713875667199505,334.77474547028044
97,11517.830000000002,0.05210245939718352,285.5925776229909
98,11454.510000000015,0.05053938561526801,319.6256861333347
99,11607.93,0.05,367.81229434859046
100,11419.339999999998,0.05,280.8145426735096
101,11107.300000000003,0.05,287.3354664337228
102,11577.869999999995,0.05,353.24119994761446
103,11540.439999999984,0.05,308.2009395596189
104,11628.599999999995,0.05,273.55333880202954
105,11564.73999999999,0.05,319.7364105610526
106,11585.189999999993,0.05,284.58602987300543
107,11468.120000000019,0.05,254.792362583964
108,11349.410000000016,0.05,221.98121496164035
109,11247.48,0.05,237.6914535477993
